,RC1,RC2,RC3
ai_general,0.154997191,-0.094253831,0.621861573
chatgpt_abbr,0.596065011,0.159603037,-0.266141881
chatgpt_usage,0.442133702,-0.004096855,0.410997043
ai_scene,0.278947984,0.070772763,-0.741368064
ai_concept,0.085284083,-0.529577485,0.03004803
ai_turing,0.103578413,0.097879766,0.488156595
ai_alphago,0.141684757,-0.63134091,0.2706765
ai_recommender,0.490315327,-0.140202634,0.124889317
cs_gpu,0.53345768,-0.266676702,-0.185822965
cs_test,-0.389546757,-0.044410501,-0.360235669
cs_knowledge,0.677620323,-0.10307886,0.092857048
cs_virus,-0.083162458,0.506123485,-0.026082876
cs_ctrlc,0.031808119,0.708704957,0.204436587
course,0.087053096,0.667847572,0.053493815
interest,0.501527362,0.036988257,0.244351457